Chemical Information										Mixture Information				exact mass		theoretical m/z			measured m/z			Ion mobilty			Chromatography				NAPS RT Pre																					NAPS RT Post																			
ChEBI name	ChEBI	KEGG	HMDB	LipidMaps	SMILES	InChI	InChIKey	formula		Chemical Exposome	Mixture	Mix Name		M		[M+H]+	[M+Na]+		[M+H]+	[M+Na]+		CCS [M+H]+	CCS [M+Na]+		RT (apex)	RT (minim)	RT (maxim)		C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20		C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20
trilaurin	CHEBI:77389		HMDB0011188	LMGL03012618	CCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC	InChI=1S/C39H74O6/c1-4-7-10-13-16-19-22-25-28-31-37(40)43-34-36(45-39(42)33-30-27-24-21-18-15-12-9-6-3)35-44-38(41)32-29-26-23-20-17-14-11-8-5-2/h36H,4-35H2,1-3H3	VMPHSYLJUKZBJJ-UHFFFAOYSA-N	C39H74O6		Food Exposome	6.2	Food Exposome_6.2		638.5485401		639.5558161	661.5377601												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
Ethyl pentanoate	CHEBI:89771		HMDB0040297		CCCCC(=O)OCC	InChI=1S/C7H14O2/c1-3-5-6-7(8)9-4-2/h3-6H2,1-2H3	ICMAFTSLXCXHRK-UHFFFAOYSA-N	C7H14O2		Food Exposome	6.3	Food Exposome_6.3		130.0993797		131.1066557	153.0885997												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
4-Ethylbenzaldehyde	CHEBI:167400		HMDB0032024		O=CC1=CC=C(CC)C=C1	InChI=1S/C9H10O/c1-2-8-3-5-9(7-10)6-4-8/h3-7H,2H2,1H3	QNGNSVIICDLXHT-UHFFFAOYSA-N	C9H10O		Food Exposome	6.3	Food Exposome_6.3		134.0731649		135.0804409	157.0623849												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
Ethyl maltol	CHEBI:169105	C20362	HMDB0031735		CCC1=C(O)C(=O)C=CO1	InChI=1S/C7H8O3/c1-2-6-7(9)5(8)3-4-10-6/h3-4,9H,2H2,1H3	YIKYNHJUKRTCJL-UHFFFAOYSA-N	C7H8O3		Food Exposome	6.3	Food Exposome_6.3		140.0473441		141.0546201	163.0365641												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
1-methylnaphthalene	CHEBI:50717	C14082	HMDB0032860		CC1=CC=CC2=CC=CC=C12	InChI=1S/C11H10/c1-9-5-4-7-10-6-2-3-8-11(9)10/h2-8H,1H3	QPUYECUOLPXSFR-UHFFFAOYSA-N	C11H10		Food Exposome	6.3	Food Exposome_6.3		142.0782503		143.0855263	165.0674703												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
benzyl acetate	CHEBI:52051		C15513		CC(=O)OCC1=CC=CC=C1	InChI=1S/C9H10O2/c1-8(10)11-7-9-5-3-2-4-6-9/h2-6H,7H2,1H3	QUKGYYKBILRGFE-UHFFFAOYSA-N	C9H10O2		Food Exposome	6.3	Food Exposome_6.3		150.0680796		151.0753556	173.0572996												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
hexyl propanoate	CHEBI:87549		HMDB0034606		CCCCCCOC(=O)CC	InChI=1S/C9H18O2/c1-3-5-6-7-8-11-9(10)4-2/h3-8H2,1-2H3	GOKKOFHHJFGZHW-UHFFFAOYSA-N	C9H18O2		Food Exposome	6.3	Food Exposome_6.3		158.1306798		159.1379558	181.1198998												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
2-Dodecanone	CHEBI:89284	C14996	HMDB0031019		CCCCCCCCCCC(C)=O	InChI=1S/C12H24O/c1-3-4-5-6-7-8-9-10-11-12(2)13/h3-11H2,1-2H3	LSKONYYRONEBKA-UHFFFAOYSA-N	C12H24O		Food Exposome	6.3	Food Exposome_6.3		184.1827154		185.1899914	207.1719354												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
methyl decanoate	CHEBI:143577		HMDB0033848		CCCCCCCCCC(=O)OC	InChI=1S/C11H22O2/c1-3-4-5-6-7-8-9-10-11(12)13-2/h3-10H2,1-2H3	YRHYCMZPEVDGFQ-UHFFFAOYSA-N	C11H22O2		Food Exposome	6.3	Food Exposome_6.3		186.1619799		187.1692559	209.1511999												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
dihydroferulic acid	CHEBI:86612				C=1(C=C(C(=CC1)O)OC)CCC(=O)O	InChI=1S/C10H12O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2,4,6,11H,3,5H2,1H3,(H,12,13)	BOLQJTPHPSDZHR-UHFFFAOYSA-N	C10H12O4		Food Exposome	6.3	Food Exposome_6.3		196.0735589		197.0808349	219.0627789												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
tetradecanoic acid	CHEBI:28875	C06424	HMDB0000806		CCCCCCCCCCCCCC(O)=O	InChI=1S/C14H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2-13H2,1H3,(H,15,16)	TUNFSRHWOTWDNC-UHFFFAOYSA-N	C14H28O2		Food Exposome	6.3	Food Exposome_6.3		228.2089301		229.2162061	251.1981501												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
1-decanoyl-sn-glycerol	CHEBI:75503				CCCCCCCCCC(=O)OC[C@@H](O)CO	InChI=1S/C13H26O4/c1-2-3-4-5-6-7-8-9-13(16)17-11-12(15)10-14/h12,14-15H,2-11H2,1H3/t12-/m0/s1	LKUNXBRZDFMZOK-LBPRGKRZSA-N	C13H26O4		Food Exposome	6.3	Food Exposome_6.3		246.1831093		247.1903853	269.1723293												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
ethyl hexadecanoate	CHEBI:84932		HMDB0029811	LMFA07010471	CCCCCCCCCCCCCCCC(=O)OCC	InChI=1S/C18H36O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20-4-2/h3-17H2,1-2H3	XIRNKXNNONJFQO-UHFFFAOYSA-N	C18H36O2		Food Exposome	6.3	Food Exposome_6.3		284.2715304		285.2788064	307.2607504												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
icosanoic acid	CHEBI:28822	C06425	HMDB0002212	LMFA01010020	CCCCCCCCCCCCCCCCCCCC(O)=O	InChI=1S/C20H40O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h2-19H2,1H3,(H,21,22)	VKOBVWXKNCXXDE-UHFFFAOYSA-N	C20H40O2		Food Exposome	6.3	Food Exposome_6.3		312.3028305		313.3101065	335.2920505												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
(5α)-cholestan-3β-ol	CHEBI:86570		HMDB0000908		[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C	InChI=1S/C27H48O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h18-25,28H,6-17H2,1-5H3/t19-,20+,21+,22+,23-,24+,25+,26+,27-/m1/s1	QYIXCDOBOSTCEI-QCYZZNICSA-N	C27H48O		Food Exposome	6.3	Food Exposome_6.3		388.3705162		389.3777922	411.3597362												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
triolein	CHEBI:53753		HMDB0005453	LMGL03010250	CCCCCCCC\C=C/CCCCCCCC(=O)OCC(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC	InChI=1S/C57H104O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-55(58)61-52-54(63-57(60)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)53-62-56(59)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h25-30,54H,4-24,31-53H2,1-3H3/b28-25-,29-26-,30-27-	PHYFQTYBJUILEZ-IUPFWZBJSA-N	C57H104O6		Food Exposome	6.3	Food Exposome_6.3		884.783291		885.790567	907.772511												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
nonan-2-one	CHEBI:77927		HMDB0031266		CCCCCCCC(C)=O	InChI=1S/C9H18O/c1-3-4-5-6-7-8-9(2)10/h3-8H2,1-2H3	VKCYHJWLYTUGCC-UHFFFAOYSA-N	C9H18O		Food Exposome	6.4	Food Exposome_6.4		142.1357652		143.1430412	165.1249852												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
octanoic acid	CHEBI:28837	C06423	HMDB0000482		CCCCCCCC(O)=O	InChI=1S/C8H16O2/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3,(H,9,10)	WWZKQHOCKIZLMA-UHFFFAOYSA-N	C8H16O2		Food Exposome	6.4	Food Exposome_6.4		144.1150298		145.1223058	167.1042498												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
linalool	CHEBI:17580	C03985	HMDB0036100		CC(C)=CCCC(C)(O)C=C	InChI=1S/C10H18O/c1-5-10(4,11)8-6-7-9(2)3/h5,7,11H,1,6,8H2,2-4H3	CDOSHBSSFJOMGT-UHFFFAOYSA-N	C10H18O		Food Exposome	6.4	Food Exposome_6.4		154.1357652		155.1430412	177.1249852												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
decan-1-ol	CHEBI:28903	C01633	HMDB0011624		CCCCCCCCCCO	InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3	MWKFXSUHUHTGQN-UHFFFAOYSA-N	C10H22O		Food Exposome	6.4	Food Exposome_6.4		158.1670653		159.1743413	181.1562853												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
4-hydroxycoumarin	CHEBI:40070				Oc1cc(=O)oc2ccccc12	InChI=1S/C9H6O3/c10-7-5-9(11)12-8-4-2-1-3-6(7)8/h1-5,10H	VXIXUWQIVKSKSA-UHFFFAOYSA-N	C9H6O3		Food Exposome	6.4	Food Exposome_6.4		162.0316941		163.0389701	185.0209141												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
ethyl octanoate	CHEBI:87426	C12292	HMDB0040195	LMFA07010447	CCCCCCCC(=O)OCC	InChI=1S/C10H20O2/c1-3-5-6-7-8-9-10(11)12-4-2/h3-9H2,1-2H3	YYZUSRORWSJGET-UHFFFAOYSA-N	C10H20O2		Food Exposome	6.4	Food Exposome_6.4		172.1463299		173.1536059	195.1355499												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
ethyl nonanoate	CHEBI:87501		HMDB0040193	LMFA07010878	CCCCCCCCC(=O)OCC	InChI=1S/C11H22O2/c1-3-5-6-7-8-9-10-11(12)13-4-2/h3-10H2,1-2H3	BYEVBITUADOIGY-UHFFFAOYSA-N	C11H22O2		Food Exposome	6.4	Food Exposome_6.4		186.1619799		187.1692559	209.1511999												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
alpha-Amylcinnamaldehyde	CHEBI:32318	C12288	HMDB0031313		CCCCC\C(C=O)=C\C1=CC=CC=C1	InChI=1S/C14H18O/c1-2-3-5-10-14(12-15)11-13-8-6-4-7-9-13/h4,6-9,11-12H,2-3,5,10H2,1H3/b14-11-	HMKKIXGYKWDQSV-KAMYIIQDSA-N	C14H18O		Food Exposome	6.4	Food Exposome_6.4		202.1357652		203.1430412	225.1249852												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
cedrol	CHEBI:10217	C09631			[H][C@@]12CC[C@@H](C)[C@@]11CC[C@@](C)(O)[C@H](C1)C2(C)C	InChI=1S/C15H26O/c1-10-5-6-11-13(2,3)12-9-15(10,11)8-7-14(12,4)16/h10-12,16H,5-9H2,1-4H3/t10-,11+,12-,14-,15+/m1/s1	SVURIXNDRWRAFU-OGMFBOKVSA-N	C15H26O		Food Exposome	6.4	Food Exposome_6.4		222.1983655		223.2056415	245.1875855												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
bis(2-methyl-3-furyl)disulfide	CHEBI:172109		HMDB0040201		CC1=C(SSC2=C(C)OC=C2)C=CO1	InChI=1S/C10H10O2S2/c1-7-9(3-5-11-7)13-14-10-4-6-12-8(10)2/h3-6H,1-2H3	OHDFENKFSKIFBJ-UHFFFAOYSA-N	C10H10O2S2		Food Exposome	6.4	Food Exposome_6.4		226.0122216		227.0194976	249.0014416												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
Menthyl lactate	CHEBI:174175		HMDB0037212		O(C1C(CCC(C1)C)C(C)C)C(=O)C(O)C	InChI=1S/C13H24O3/c1-8(2)11-6-5-9(3)7-12(11)16-13(15)10(4)14/h8-12,14H,5-7H2,1-4H3	UJNOLBSYLSYIBM-UHFFFAOYSA-N	C13H24O3		Food Exposome	6.4	Food Exposome_6.4		228.1725446		229.1798206	251.1617646												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
linoleic acid	CHEBI:17351	C01595	HMDB0000673		CCCCC\C=C/C\C=C/CCCCCCCC(O)=O	InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6-,10-9-	OYHQOLUKZRVURQ-HZJYTTRNSA-N	C18H32O2		Food Exposome	6.4	Food Exposome_6.4		280.2402303		281.2475063	303.2294503												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
octadecanoic acid	CHEBI:28842	C01530	HMDB0000827		CCCCCCCCCCCCCCCCCC(O)=O	InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20)	QIQXTHQIDYTFRH-UHFFFAOYSA-N	C18H36O2		Food Exposome	6.4	Food Exposome_6.4		284.2715304		285.2788064	307.2607504												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
retinol	CHEBI:50211				CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CCO	InChI=1S/C20H30O/c1-16(8-6-9-17(2)13-15-21)11-12-19-18(3)10-7-14-20(19,4)5/h6,8-9,11-13,21H,7,10,14-15H2,1-5H3	FPIPGXGPPPQFEQ-UHFFFAOYSA-N	C20H30O		Food Exposome	6.4	Food Exposome_6.4		286.2296656		287.2369416	309.2188856												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
cholesteryl stearate	CHEBI:82750		HMDB0062461	LMST01020007	[H][C@@](C)(CCCC(C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@]([H])(CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCCCCCCCCCCCCCC	InChI=1S/C45H80O2/c1-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-25-43(46)47-38-30-32-44(5)37(34-38)26-27-39-41-29-28-40(36(4)24-22-23-35(2)3)45(41,6)33-31-42(39)44/h26,35-36,38-42H,7-25,27-34H2,1-6H3/t36-,38+,39+,40-,41+,42+,44+,45-/m1/s1	XHRPOTDGOASDJS-XNTGVSEISA-N	C45H80O2		Food Exposome	6.4	Food Exposome_6.4		652.6158318		653.6231078	675.6050518												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
styrene	CHEBI:27452	C19506	HMDB0034240		C=CC1=CC=CC=C1	InChI=1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2	PPBRXRYQALVLMV-UHFFFAOYSA-N	C8H8		Food Exposome	6.5	Food Exposome_6.5		104.0626003		105.0698763	127.0518203												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
2-acetylpyrrole	CHEBI:59981				CC(=O)c1ccc[nH]1	InChI=1S/C6H7NO/c1-5(8)6-3-2-4-7-6/h2-4,7H,1H3	IGJQUJNPMOYEJY-UHFFFAOYSA-N	C6H7NO		Food Exposome	6.5	Food Exposome_6.5		109.0527638		110.0600398	132.0419838												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
p-cymene	CHEBI:28768	C06575	HMDB0005805		CC(C)C1=CC=C(C)C=C1	InChI=1S/C10H14/c1-8(2)10-6-4-9(3)5-7-10/h4-8H,1-3H3	HFPZCAJZSCWRBC-UHFFFAOYSA-N	C10H14		Food Exposome	6.5	Food Exposome_6.5		134.1095504		135.1168264	157.0987704												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
camphene	CHEBI:3830	C06076	HMDB0059839		CC1(C)C2CCC(C2)C1=C	InChI=1S/C10H16/c1-7-8-4-5-9(6-8)10(7,2)3/h8-9H,1,4-6H2,2-3H3	CRPUJAZIXJMDBK-UHFFFAOYSA-N	C10H16		Food Exposome	6.5	Food Exposome_6.5		136.1252005		137.1324765	159.1144205												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
Sesamol	CHEBI:9126	C10832	HMDB0033812		Oc1ccc2OCOc2c1	InChI=1S/C7H6O3/c8-5-1-2-6-7(3-5)10-4-9-6/h1-3,8H,4H2	LUSZGTFNYDARNI-UHFFFAOYSA-N	C7H6O3		Food Exposome	6.5	Food Exposome_6.5		138.0316941		139.0389701	161.0209141												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
methyl cyclohexanecarboxylate	CHEBI:88845		HMDB0031343		COC(=O)C1CCCCC1	InChI=1S/C8H14O2/c1-10-8(9)7-5-3-2-4-6-7/h7H,2-6H2,1H3	ZQWPRMPSCMSAJU-UHFFFAOYSA-N	C8H14O2		Food Exposome	6.5	Food Exposome_6.5		142.0993797		143.1066557	165.0885997												0.456	0.476	0.566	0.875	2.102	3.419	4.137	4.705	5.204	5.653	6.082	6.491	6.890	7.289	7.678	8.057	8.436	8.805	9.154	9.473		0.451	0.471	0.561	0.880	2.117	3.423	4.141	4.710	5.199	5.657	6.086	6.495	6.894	7.293	7.682	8.061	8.440	8.809	9.148	9.478
